gene	DTL	Interstitial	Immune	ATL/TAL	EC	PC	PT	TAL	IC	CNT	DCT	PEC	POD
RBP4	0.661614581	0.097456929	0.02233521	0.073262671	0.036708974	0.052890571	1.306470035	0.029121841	0.017553262	0.016446781	0.014720458	0.891884676	0.009729099
CD14	0.020072012	0.058488748	1.317327618	0.029273847	0.458026666	0.019362149	0.065016391	0.015551432	0.012141689	0.015809299	0.025514676	0.065778393	0.024127695
FTCD	0.139362447	0.048901124	0.021627757	0.033294662	0.041546351	0.107806186	1.280493078	0.04696331	0.034074056	0.026159784	0.046596727	0.238266691	0.035012405
DDC	0.086425287	0.051255504	0.019569706	0.020528265	0.031586963	0.067324505	1.265393417	0.027044077	0.015860246	0.029190131	0.037848226	0.321450053	0
NR2F1	0.082924035	1.451991097	0.010177574	0.104931832	0.630418792	0.042782689	0.422984567	0.178371348	0.01972349	0.028491548	0.178823967	0.558820882	0.55197098
PTP4A3	0.075232304	1.33578047	0.116320515	0.063844611	0.293284724	0.106904637	0.052877602	0.035935109	0.387792735	0.150497671	0.05175157	0.084734271	0.316065897
DPP6	0	0.005771142	0	0.001618157	0	0.000153497	0.006616889	0.001335771	0.000945472	0	0.002053134	0.092715049	1.22045643
NR2F2	0.878298085	1.978213111	0.047318211	0.93347326	1.048410275	0.830105142	0.763662219	0.945510221	0.459282373	0.730432205	0.823972805	1.468215577	1.075268958
FAM24B	0.077201163	0.0608481	0.085510173	0.069974966	0.022801578	0.288333551	0.026089542	0.046829217	1.295972873	0.101569282	0.057875862	0.056073747	0.103131305
LOX	0.005971602	0.070435114	0.001167627	0.007908099	0.068724688	0.000111534	0.003383233	0.002006129	0.001534653	0.001168959	0	0.050037582	1.216541785
PHYHIP	0	0.025852059	0.000621421	0.000407349	0.002034214	0.000412388	0.012182589	0	0.000226457	0	0	0.044602663	1.210468353
CALB1	0.038708279	0.450313762	0.106182594	0.144188154	0.073635422	2.471055451	0.17143011	0.454607479	1.783163102	3.239424166	2.750998895	0.226609262	0.310820359
TXN	1.549587161	1.335528238	1.23135726	1.577614542	1.099446607	1.43335204	2.597879392	1.335733304	1.692698778	1.459170093	1.518363578	1.469261763	1.489993395
SYNPO2	0.018077344	1.218659419	0.014106492	0.007816428	0.072995906	0.008521336	0.013237377	0.004287625	0.006212359	0.005801307	0.005860228	0.178230406	0.113747234
MUC1	1.323685017	0.480585809	0.11167147	2.544605616	0.119587979	1.879557983	0.334317813	1.991186506	1.715397822	1.893666788	1.773147843	0.30742748	0.223632205
EFNB2	0.17724002	0.140268289	0.008028788	0.085680556	1.286320508	0.155151129	0.084885155	0.02185038	0.109943718	0.23568588	0.02121307	0.317914119	0.626501209
NOSTRIN	0.100086537	0.098176641	0.00667706	0.051648149	1.25877547	0.014088207	0.168242582	0.034477616	0.009065023	0.006169178	0.008377543	0.036267949	0.147823627
RPS15A	3.086036242	2.749687472	3.867298205	2.593799533	2.670608676	2.529501934	2.820604102	2.393331222	3.127257823	2.49345884	2.386251557	3.024983246	2.074992427
REG1A	0.489630429	0.046175246	0.088385875	0.095626426	0.011014494	0.022350306	1.268006039	0.102218869	0.002987257	0.062479373	0.041607194	0.640032587	0
ESM1	0	0.007537778	0.008156251	0.00176978	1.192584815	0.004924437	0.000985859	0.002167108	0.007422628	0	0.000569905	0	0.12998657
TRAC	0.061155015	0.031530515	1.216541663	0.038837204	0.012354639	0.010095944	0.01931808	0.036008282	0.08100284	0.035944167	0.075630695	0.032983092	0.141715453
DUSP9	0.186772109	0.147086074	0.026679536	0.602510608	0.04090563	0.189799558	0.037191806	1.434163043	0.123897844	0.366017476	1.213931957	0.034249059	0.082721396
AMN	0.355051409	0.060897625	0.042596451	0.442993712	0.042460488	0.158239604	1.328852439	0.090431677	0.316684351	0.08421869	0.077359029	0.276960383	0.009300795
ITGA7	0.02950341	1.204221679	0.009656806	0.017973133	0.013154528	0.020216874	0.03715397	0.021586257	0.040138773	0.017246429	0.025897536	0.083719748	0.039908784
ALDH6A1	0.401738844	0.354758138	0.113136086	0.381237569	0.303355223	0.582591553	1.70143801	0.806112885	0.553687723	0.540801074	0.763836334	0.365194102	0.47311651
DAPL1	0.055034012	0.028628072	0.022786484	0.029370095	0.003514405	0.047213096	0.080967067	0.023421242	0.187742467	0.039869317	0.050868578	1.226306386	0.061775889
S100A6	3.636387627	3.102110865	3.026812892	4.60626308	3.595015396	3.814096525	2.827831244	3.64987859	3.519615533	3.992704509	3.536336979	3.867308323	4.618134554
DEFB1	2.008858828	2.207908829	0.912925169	3.754165707	0.78462961	3.789554071	1.648853439	4.708427758	4.118035112	4.800323182	5.33456438	1.920987001	2.20234213
RPL30	3.146691384	3.09054788	3.984792099	2.740287875	2.890618202	2.785418134	2.876890891	2.515309514	3.278568702	2.638221421	2.519846421	3.063272476	2.46882742
TPM1	2.454023447	2.474908501	0.260601795	1.820586322	0.734796318	0.903906851	1.753031591	0.706590232	1.052229568	1.130527201	0.623946147	2.621429074	0.903535477
EGF	0.173922137	0.200422014	0.025195926	0.262859821	0.024861222	0.14290633	0.032469881	1.498382165	0.243185759	0.227574332	1.856568812	0.057642536	0.07111932
ELK3	0.096758272	0.156659259	0.270847807	0.182362133	1.273587616	0.089172805	0.060006179	0.053558577	0.032090165	0.11249909	0.057331226	0.123844419	0.075951148
RPS29	2.385983471	2.032755173	3.43868141	2.129685861	2.117704638	1.954555194	2.448837383	2.26945875	2.589441677	2.235189442	2.257072023	2.322640177	1.956526588
TMEM101	0.364917229	0.239878456	0.223910759	0.284375502	0.266775566	0.586124969	0.226551023	0.200403463	1.480501745	0.403243261	0.798639338	0.28200435	0.284704409
MMP7	1.710937409	0.468006712	0.121080042	2.624633708	0.071562376	1.280114539	2.00943149	0.794137561	1.03756042	2.89825114	0.512847097	2.730048749	0.016153888
SUCLG1	0.792372219	0.598262067	0.453771662	0.846747157	0.44174	0.925004496	2.038814269	1.148458881	1.187077494	0.807580591	1.17443887	0.619076605	0.489718893
HLA-B	2.03596471	1.782802844	3.181805235	2.202081268	3.323948458	1.905763068	1.515768144	1.289415255	2.514465277	1.76733624	1.256548141	1.899126184	2.347209881
OCIAD2	1.259079073	0.378702937	0.647154321	1.309768968	0.611950524	0.907090556	1.976345587	0.695632451	0.709342999	1.061490355	0.842595368	0.951739069	0.480569426
VCAM1	0.747144819	0.49150736	0.054750672	0.243220418	0.795565545	0.148176978	1.435372718	0.045863647	0.050068717	0.072166133	0.056645001	2.579679018	0.115966508
GPSM3	0.041367286	0.092746494	1.179022947	0.027180902	0.087263028	0.046175608	0.017330072	0.012334787	0.024485854	0.031752842	0.007584221	0.028477027	0.03087156
COTL1	0.288232335	0.162287023	1.826612896	0.497242523	0.743084596	0.205112911	1.301931915	0.161489838	0.066066735	0.305861655	0.114797138	0.52515689	0.263146819
PFN1	1.893481895	2.186114267	2.995729522	2.031465757	1.748699135	1.825801091	2.076282786	1.414913951	1.789016868	1.880219557	1.553270399	2.025860491	1.567059566
LINC01320	1.502681664	0.071510354	0.022739221	0.769147413	0.017063229	0.118782968	0.663072901	0.406711094	0.052781796	0.173352749	0.124812645	0.610154387	0
FKBP1A	0.779393854	0.935707024	0.983397617	0.922374175	2.043784904	0.970330991	0.953564878	0.678861515	0.861298404	1.033375791	0.804074889	1.000004708	1.082499364
TMSB10	3.255519583	2.491710018	4.141136358	3.248836868	3.906977637	2.347755979	3.386349767	2.045876155	2.349232737	2.601810159	2.188208047	3.631717263	2.754854869
KANK3	0.017284445	0.1053603	0.021549067	0.014781171	1.15923211	0.012045603	0.021994265	0.026714115	0.01770099	0.008213987	0.014119333	0.209610301	0.179526834
SERPINE2	0.187898916	0.379371042	0.044134317	0.264393988	1.430733402	0.035453402	0.731542432	0.125971806	0.022253112	0.033181453	0.022076547	0.430036911	0.102901357
ITGA1	0.375179671	1.42860125	0.105909783	0.163098234	1.143312113	0.141404927	0.265189951	0.170168951	0.207500358	0.185678821	0.105776091	0.780623026	0.899821451
CTSH	0.568884984	0.273131969	0.928174529	0.797126874	0.385307954	1.998230182	0.971087599	0.737462217	0.953960004	1.625151478	0.546318591	0.457987365	0.168245762
SLC13A1	0.086215044	0.042228404	0.019027329	0.022877285	0.029716899	0.082399476	1.159992316	0.027684901	0.021004016	0.078523521	0.031084081	0.070054394	0
ALOX5AP	0.005777023	0.028943956	1.148501196	0.012520996	0.006039399	0.033007709	0.037966007	0.020889136	0.101048951	0.016792838	0.024841102	0.010971544	0.009008197
PBX1	0.502199737	0.669038951	0.030184891	0.473367114	1.530706886	0.307356743	0.504356168	0.619831937	0.223613966	0.278854083	0.310089462	0.595168666	0.453640599
CR1	0	0.001264705	0.095488446	0.00076987	0.000951851	0.001723963	0.000758308	0.000641678	0.001097567	0.000872106	0	0.014050165	1.131842201
UGT2A3	0.484039536	0.072956057	0.018492968	0.047047145	0.025462288	0.115408079	1.1727735	0.032489711	0.020258324	0.036407784	0.033344287	0.420584559	0
CLTRN	0.402755727	0.055295001	0.022638715	0.1016315	0.025967821	0.036056996	1.172567498	0.047409409	0.088801681	0.070370336	0.059276351	0.292910404	0.026182555
CMBL	0.364460787	0.205726718	0.037523386	0.374659519	0.101706392	0.330757828	1.456089784	0.6407904	0.286960384	0.28599161	0.461041825	0.296588509	0.099906824
RIPPLY1	0.260003077	0.006664328	0	0.006805836	0.000703221	0.006076351	0.061863403	0.001780661	0.000897991	0.008619192	0.002278826	1.129309706	0.002521381
PALLD	0.256741344	1.371929069	0.144953465	0.128078664	0.112152746	0.378306113	0.427810819	0.065582195	0.221207266	0.321624596	0.293612625	1.252537194	1.514615807
HMGCS2	0.026259501	0.093867063	0.006315729	0.019720756	0.013828064	1.284000849	0.046673782	0.072412099	0.546713421	1.155863394	0.289879292	0.049512238	0.048597345
NDRG1	0.478900513	0.462548062	0.202124177	0.504716049	0.979460146	1.835215468	0.873403661	0.586183455	0.869548851	1.402174414	0.927210791	0.440594263	1.460778263
BTNL9	0.009276791	0.022080949	0.009951529	0.019885142	1.11134847	0.03430729	0.00801938	0.031189942	0.121317695	0.001805379	0.007175215	0	0.199187837
PCSK1N	0.866952412	0.661272889	0.125725944	2.640035749	0.137096371	1.876558151	2.018883545	1.771389284	0.780519692	1.590177368	1.533166403	1.150096074	0.222510722
EPAS1	0.131238027	1.766314513	0.045291923	0.192296251	2.526483159	0.087251206	0.206267268	0.114391968	0.234000673	0.111018662	0.122481933	0.133716404	0.745316694
CDC14A	0.095484581	0.046910341	0.166072414	0.073034585	0.218158143	0.044685971	0.052562869	0.055605661	0.063076198	0.039337535	0.045042173	0.164336944	1.16558187
C1orf162	0.031434795	0.046460501	1.1024061	0.017631728	0.070964721	0.019764989	0.018879499	0.03043427	0.01560414	0.01651095	0.019467642	0.022949293	0.007801367
ID3	1.950758836	2.119437484	0.351567577	0.250233955	2.205687715	1.217844265	0.134726306	0.204977311	1.174141801	0.400386178	0.111035847	0.79460301	0.771599677
IGFBP2	1.95949626	1.303005191	0.049135395	1.619084555	0.501789761	1.44700624	0.241154139	1.098702088	0.200206094	0.947908912	0.295583046	2.23497866	3.449694179
ACVRL1	0.007373302	0.146109829	0.02023248	0.023922613	1.093280306	0.035301391	0.011024689	0.005222359	0.010007012	0.028233684	0.003876569	0.006807857	0.169933324
SLC22A8	0.011430985	0.017186151	0.015231782	0.009673138	0.030093473	0.04637079	1.092199641	0.011652659	0.01681877	0.017983373	0.022041705	0.041757262	0.003853118
HEPACAM2	0.005705649	0.03008598	0.004095713	0.014146525	0.006736433	0.291959316	0.006782958	0.026527973	1.121265794	0.04312028	0.020984494	0.011978645	0.018030133
WFDC1	0.012850855	1.101348014	0.002339915	0.014092086	0.138623956	0.004243886	0.009353583	0.096188486	0.008750105	0.002734943	0.006351448	0.029567815	0.028559172
AQP11	0.022372382	0.009531935	0.008596588	0.011491568	0.010254699	0.012539762	0.100869387	0.012553797	0.013724253	0.013748417	0.007382312	0.034470299	0.019636094
HOPX	0.014429392	1.315733269	1.020065726	0.012549005	0.171323985	0.015150359	0.009260416	0.007531851	0.025742108	0.014710669	0.005225863	0.042404734	0.007707317
SPARC	0.185334444	1.84868837	0.053789772	0.098724826	2.457877315	0.101810501	0.832966459	0.03891339	0.067064435	0.090391085	0.041935602	1.978479531	2.442251255
PIK3C2G	0.014959974	0.097100224	0.012503711	0.039857077	0.007359097	1.272817781	0.024215546	0.062220086	0.39706568	1.151123122	0.847142996	0.008557673	0.03964875
CPE	1.360437295	1.756790978	0.014317988	0.217196566	0.598758626	0.024858241	0.353219636	0.113927009	0.043599264	0.019184929	0.013230606	0.232392043	0.034675532
CERS6	0.193274349	0.146243422	0.144822654	0.231283807	0.185668818	0.092794442	0.149436625	0.233684391	0.13948931	0.079090785	0.144244996	0.160770633	1.218984426
THBD	0.080732164	0.137144716	0.097351904	0.006435945	1.082309666	0.003400307	0.014958889	0.003304712	0.005468748	0.003764437	0.002451189	0.032441465	0.027944886
SLC7A2	0.030204495	1.110249255	0.003536575	0.085966355	0.014068107	0.052340863	0.049987853	0.123729286	0.039247339	0.050872413	0.043289363	0.253087837	0.002515424
ECE1	0.250809574	0.401896519	0.12583744	0.363333237	1.267811419	0.122534477	0.16873082	0.25031078	0.315519863	0.208169082	0.280763548	0.319076694	0.083956156
AQP6	0.005282664	0.018034334	0.004447954	0.007182444	0.003625393	0.144728738	0.008344203	0.022999374	1.078954195	0.043681791	0.014969404	0.024144188	0.037852994
ARPC1B	0.457035459	0.651497038	1.539146697	0.784948554	0.874790632	0.445665299	0.500970973	0.211581715	0.372624521	0.504012387	0.200045642	0.646037932	0.387607652
PDE2A	0.00151624	0.061340675	0.006120038	0.007266892	1.050575013	0.004547691	0.00203431	0.002068842	0.007475981	0.001522183	0.002948248	0.002205407	0.069578862
LRRC2	0.038444989	0.043647713	0.004968064	0.053459261	0.010879273	0.01759829	0.015531468	0.096018181	0.035421209	0.002735312	0.008070432	0.032152574	1.076329607
RPS2	2.396466745	2.118058824	3.059718645	2.059821926	1.891638675	1.757128649	2.152441578	1.845549359	2.417661491	1.89294904	1.770082812	2.24255172	1.352935511
CLEC2B	0.036018219	0.061247825	1.158232253	0.107497316	0.801352721	0.00934213	0.020650141	0.008964756	0.010144703	0.009922324	0.010716025	0.018760609	0.086354054
GZMM	0	0.012177152	1.042390138	0.006489172	0.010324687	0.010467748	0.00535844	0.00569983	0.002935233	0.004918735	0.0017941	0.018723846	0
NET1	0.143059121	1.240317854	0.07674789	0.159789708	0.637855259	0.139016325	0.265683455	0.116762033	0.111328168	0.151678916	0.143677837	0.304745007	0.062553015
HLA-DMA	0.258456968	0.171292705	1.512052103	0.325818084	1.43786282	0.502551125	0.334915013	0.180137064	0.404062293	0.384385421	0.141630644	0.580691275	0.30375145
RRAD	0.252510926	1.25578202	0.026451067	0.450972747	0.02688651	0.300876115	0.232751783	0.18182786	0.1905297	0.605905992	0.241402791	0.516774582	0.004533817
MT2A	1.94391026	3.557210549	1.718380025	2.443915825	3.212722282	1.685511711	3.158593239	1.994667951	1.818549736	1.984055707	2.566664029	3.141467128	2.128143255
RIDA	0.335944237	0.080565616	0.071567818	0.200411841	0.079241131	0.114667939	1.18860511	0.24094597	0.157708941	0.201388397	0.270983266	0.153448229	0.161007746
PPP1R12B	0.169644699	1.166521038	0.05554131	0.103513228	0.119507784	0.176666079	0.113507853	0.092323394	0.565772892	0.104647333	0.089779747	0.225554884	0.14727872
LIMCH1	0.40103513	0.41357709	0.031831404	0.367359821	1.403481972	0.721233253	0.211247083	0.408818771	0.528579888	0.630858612	0.574143306	0.113117439	0.20997251
LTBP1	0.0282491	1.091486934	0.005259226	0.039973095	0.525890012	0.047433975	0.031199706	0.029430672	0.022261208	0.08986172	0.014069864	0.050256395	0.06997971
MAP1B	0.027312991	1.091596827	0.00627082	0.021721433	0.410967817	0.008025355	0.108122384	0.012320492	0.029508183	0.012886103	0.006820635	0.255367954	1.274519685
RCAN2	0.148303731	1.236099655	0.012666586	0.097044091	0.284785471	0.308855902	0.044417398	0.112701231	1.140210693	0.131854212	0.082453401	0.154280835	0.076260817
CASKIN2	0.152438265	0.148295745	0.008733577	0.200677838	1.135788504	0.149923833	0.072372028	0.195830163	0.113997145	0.165391024	0.201022238	0.178999885	0.120529483
KIT	0.020784068	0.058737852	0.051028674	0.01488412	0.081234061	0.197926591	0.007026473	0.01703361	1.059651284	0.026904826	0.037701488	0.012188037	0.030389718
SLC5A12	0.023007121	0.032489984	0.018887019	0.021752774	0.025845429	0.070329282	1.036772481	0.020954429	0.022292903	0.026432909	0.019830344	0.06544745	0.046552954
DCXR	0.702955413	0.643349459	0.721028389	0.892809902	0.344135403	0.867446999	1.95321521	1.201811699	1.30897042	0.872453174	1.197300034	0.962623772	0.788278094
PROM1	1.455491618	0.136714297	0.023042568	1.033389743	0.024142733	0.572307831	0.653364373	0.299165841	0.089466606	0.68539539	0.106404459	0.86581097	0.019217533
DUSP2	0.017785982	0.241356217	1.059688312	0.019469668	0.010954384	0.157821611	0.014791752	0.018002911	0.098212314	0.072299198	0.019364288	0.130634167	0.033286518
KANK2	0.233870431	1.164718079	0.018145207	0.222458267	0.338132262	0.154014536	0.142333805	0.186065764	0.110207879	0.146030602	0.148205692	0.463911384	0.750718245
IL32	0.821233691	0.374378529	2.213770684	0.502087812	1.155021235	0.292374168	2.097010919	0.141078462	0.233216022	0.439359534	0.157175892	1.74002256	0.264432589
TYMP	0.433871341	0.316751149	1.470112466	0.554116099	0.572341172	0.279356532	0.733835726	0.21132524	0.229188045	0.413755591	0.380618828	0.798485559	0.094760321
CD7	0.003969168	0.004064046	1.003464651	0.021763464	0.006416976	0.008246294	0.009078863	0.010077389	0.003287859	0.002252442	0.004694851	0.017978309	0
DSG2	0.553569954	0.13085142	0.022012774	0.699729372	0.031675076	0.655326175	0.43382268	0.635156503	1.452220171	0.505500336	0.589148707	0.751583875	0.439733115
PLAC8	0.017076296	0.010417096	1.00603701	0.060025744	0.006827313	0.00644694	0.008623205	0.008305387	0.004688718	0.006282134	0.005646913	0.0267225	0.010698357
RRAS	0.330209479	1.452374159	0.395633905	0.661773532	1.289802486	0.330448575	0.382200156	0.140711436	0.268410902	0.323869529	0.141080585	1.099471173	1.539993919
SLC25A39	0.560409275	0.419342468	0.376367567	0.702140186	0.379964105	0.863065636	0.831865125	0.760069808	1.685423728	0.66251216	0.731416109	0.447986161	0.494394721
SERPINB6	0.462805322	0.780870701	0.497938438	0.521130625	1.508649398	0.506706158	0.605620669	0.354500425	0.643564434	0.448251402	0.391563414	0.500820421	0.652498922
CKLF	0.344611255	0.324419756	1.290715515	0.509417819	0.38576793	0.344011237	0.29795767	0.173786226	0.189046668	0.337701597	0.183619481	0.436000489	0.229236642
EFNB1	0.049496669	0.141933805	0.02998113	0.10841975	1.089663613	0.208148219	0.115448441	0.038575674	0.055408132	0.208264743	0.063690247	0.150488718	0.829481968
GMDS	1.284736686	0.174695217	0.08637188	0.612770934	0.169292935	0.181766186	0.318987139	0.478506579	0.131150238	0.190168292	0.119272728	1.150951439	1.688586533
ENPEP	0.058414941	0.12033786	0.017091825	0.020541069	0.032079616	0.04992853	1.036404274	0.02430529	0.019588177	0.02558422	0.026462227	0.547816056	2.403823205
TGFB1I1	0.154468388	1.085034967	0.008721953	0.12159293	0.332879287	0.093030775	0.179925543	0.034909346	0.043650038	0.098202808	0.072317565	0.586222733	0.521723291
APOLD1	0.009435693	0.265890081	0.093494346	0.016635668	1.001104043	0.015654835	0.012712197	0.020885646	0.008468363	0.015102572	0.010968322	0.019251831	0.079002539
RPL39	3.242365799	3.065684239	4.122776957	3.092145999	2.896578313	3.177258111	3.258007865	2.945495968	3.607409815	3.205273782	3.024802743	3.352401204	2.513594573
PALMD	0.013844169	0.08683736	0.003900273	0.04033776	0.992681886	0.031392664	0.021625943	0.027037866	0.028578993	0.060348576	0.084606024	0.108988513	0.180908555
MT1A	0.014215713	1.019539216	0.008564335	0.026220798	0.343301924	0.009440528	0.058270485	0.038316251	0.00569643	0.006555268	0.054304238	0.36035458	0.032320115
EHD4	0.128636245	0.088498184	0.130830809	0.125363838	1.082812014	0.228837387	0.083900282	0.073754196	0.134541175	0.23308091	0.080390595	0.176364604	0.574264755
ARHGEF17	0.243314734	1.10595476	0.010605701	0.209927111	0.107680828	0.160080423	0.13869364	0.224292974	0.147644045	0.170468571	0.179053805	0.345233176	0.550736331
GLYATL1	0.047727003	0.031641793	0.013622011	0.032388945	0.023501438	0.045425777	0.997708836	0.095463058	0.015710642	0.032532351	0.057715151	0.052665437	0.009363222
FYB1	0.088849682	0.030753893	1.010989916	0.24240566	0.023166535	0.011396618	0.054791948	0.054577395	0.035377077	0.036966265	0.016911284	0.022552685	0.009215691
RAB11FIP3	0.202145217	0.166122049	0.058271799	0.230596108	0.184485558	0.242010156	1.165882688	0.312438783	0.165582421	0.271510052	0.273362907	0.25932719	0.177242262
CYYR1	0.039274356	0.05800623	0.013872048	0.087875336	1.01080671	0.12474254	0.044045695	0.063938294	0.025859214	0.120206937	0.079749639	0.077242405	0.035316284
EBF1	0.005116259	1.018347408	0.033416635	0.00376062	0.626158154	0.009812612	0.006587832	0.003954634	0.004605584	0.006274015	0.002797846	0.100568218	0.079256976
PDGFB	0.206899789	0.286448493	0.094580595	0.179950793	1.039199435	0.040333007	0.107156735	0.050254784	0.016420587	0.090058593	0.037395331	0.236481487	0.0686648
MAP3K7CL	0.050486509	0.996481747	0.065096343	0.038925018	0.030263021	0.038324889	0.068613102	0.036082032	0.045853374	0.029430206	0.042069186	0.126267316	0.022612868
RGS10	0.049356386	0.111036478	1.031271846	0.111902872	0.025565498	0.03986091	0.048730737	0.178951972	0.018925609	0.03589311	0.106194942	0.255567566	0.713190624
HLA-E	0.753994916	0.917236997	2.253975686	1.079097794	2.993887773	0.939851734	0.671021468	0.68105671	0.938083957	0.877763614	0.62573765	0.906342398	1.619342792
CSPG4	0.006545067	0.94790029	0.002972561	0.008395348	0.012614446	0.003044023	0.00258107	0.001686041	0.002215803	0.002511434	0.003613562	0.009990049	0.006873021
IFI44L	0.204477801	0.284481461	0.268195173	0.209174294	1.115173661	0.148498259	0.200939662	0.116825785	0.031601462	0.099957943	0.028428991	0.353269513	0.161252523
KCNJ12	0.017297511	0.02512395	0.00029137	0.016416094	0.122657614	0.037292102	0.016522491	0.065005074	0.004201222	0.014640721	0.003432048	0.034934382	0.008232234
PIK3C2A	0.457495044	0.548649139	0.21162595	0.511298388	1.371234235	0.457539548	0.380699906	0.575616416	0.408385786	0.445132299	0.539922951	0.432001258	0.520627282
PRAP1	0.03039995	0.024015643	0.015531548	0.015347845	0.023477448	0.040635228	0.955235054	0.015467586	0.018327947	0.017941401	0.025500965	0.04075544	0.022208275
SAMHD1	0.026309748	0.177823254	1.010927918	0.036882386	0.336360178	0.047159987	0.070259295	0.026633144	0.03272585	0.039203714	0.025682703	0.063891725	0.022161197
CAVIN1	0.424489793	1.201974294	0.016680885	0.265701154	1.27890311	0.052147564	0.17559766	0.058278583	0.039406692	0.21049432	0.091067325	0.747973987	0.4118776
CFAP45	0.016959174	0.00273348	0.00099383	0.002919972	0.002407934	0.006664704	0.004845532	0.001587582	0.002976288	0.0045216	0.00021484	0.003908431	0.934992605
RPL32	3.386305951	3.171676279	3.984580322	2.961097782	3.028812891	2.909775871	3.254977737	2.734091342	3.383517063	2.92062051	2.815473598	3.387594314	2.434450609
CA4	0.16112523	0.055609298	0.012362184	1.294302208	1.025530461	0.218686401	0.096507275	0.795399523	0.047764397	0.189724894	0.14247372	0.030867433	0.046693328
PAX8	1.792242177	0.217536528	0.069889091	1.219140422	0.06139055	1.266099908	1.033575681	0.825258553	0.79368529	1.259670025	0.553320098	1.399409373	0.170872156
MSRA	0.127049229	0.185683564	0.171948959	0.173634264	0.195604906	0.134001376	1.084395695	0.152747975	0.137245866	0.130077416	0.155031848	0.224053405	0.106754552
KCTD12	0.174911554	0.343641857	0.63085622	0.31216836	1.412501589	0.85989156	0.211033235	0.151468218	1.096604018	0.753369977	0.208422398	0.382907118	0.431194353
DHRS3	0.239655988	0.367767254	0.304019035	0.360701793	1.268569771	0.234740095	0.383836257	0.263510076	0.619257131	0.239985601	0.425076557	0.544270949	1.231116696
PDXK	1.603335784	0.329777836	0.386907937	0.783069085	0.160367868	0.714356561	0.630334791	1.044481153	0.579885975	0.7426677	0.732846635	0.676266017	0.462634665
MME	0.020983141	0.04076799	0.025275866	0.020435678	0.05972804	0.055793573	1.040000204	0.031341332	0.022346012	0.028932847	0.030186599	0.24024156	3.458184232
CXCL1	0.119466643	0.050837405	0.019104277	0.195361895	0.024871445	0.021238927	0.42458632	0.018865311	0.013246144	0.130848922	0.009054786	1.068258834	0.012585025
RNASET2	0.554333716	0.230661539	1.275102984	0.568621783	0.283198615	0.378321631	0.281236459	0.412169076	0.240327702	0.36034645	0.313379887	0.409155915	0.40466491
DNASE1	0.131772539	0.156732574	0.077856656	0.320739158	0.101569678	0.227562887	0.059710867	1.168774878	0.407329348	0.317478461	1.120875934	0.101246265	0.0588545
SHMT1	0.523843458	0.097802794	0.07944995	0.277287327	0.101225213	0.436511986	1.156575192	0.269666089	0.153067344	0.31288578	0.17085964	0.386389121	0.053441042
SLC38A1	0.657722496	0.483827841	0.523538596	0.707483304	0.070144691	1.412556245	0.258389806	0.457204742	0.789032536	1.099756604	0.525531743	0.439655357	0.125219295
ANK2	0.25027049	0.395554052	0.027141975	0.245584428	0.050049151	0.099930012	1.183530639	0.637357354	0.044913411	0.062287539	0.351737281	0.32005617	0.063986385
HLA-DRB5	0.044931142	0.103501599	1.326409752	0.163771291	1.684462476	0.317643394	0.137694514	0.088021287	0.092966632	0.207327411	0.034088478	0.046944094	0.235154345
HLA-C	1.51662939	1.488100855	2.641157808	1.938352021	2.809000969	1.728834028	1.217590331	1.297582852	2.123750381	1.614487872	1.337226319	1.524545999	2.067438144
ALDH4A1	0.139808904	0.13395259	0.036160816	0.349388805	0.086153014	0.660600919	1.227774782	0.329585857	0.230447322	0.536780523	0.354366197	0.124053199	0.128446824
CST3	1.695082596	1.949108591	2.890418793	2.623234929	1.031778424	1.830907223	1.928847509	2.166309819	1.809256262	1.812983634	1.888649077	2.100895252	1.666499116
DHRS4L2	0.328005938	0.43060388	0.283559553	0.280982123	0.302526327	0.354017997	1.229967826	0.298778413	0.409034636	0.31065284	0.338096115	0.588173819	0.393427279
CLDN2	0.24679334	0.023055583	0.016062729	0.067114329	0.014890721	0.044883137	0.937081742	0.017931482	0.009549557	0.036187101	0.014790227	0.304765671	0.005274274
SFRP1	0.555442358	0.494882739	0.069975848	1.865340523	0.375591759	0.351485838	0.086784292	1.962543656	0.148540541	0.358934203	2.022324271	0.171231433	0.155819148
FAM151A	0	0.015337088	0.013852621	0.006642257	0.023707162	0.02593142	0.917179841	0.009903003	0.012951211	0.016289141	0.017717545	0.029995784	0.044401563
NUCB1	0.709562033	0.635771724	0.424497404	0.828303277	0.882535052	0.800418567	0.743406565	0.827416207	0.615851561	0.809494351	0.786834184	0.707153064	1.638287067
PDLIM1	0.206605489	1.277841694	0.196344024	0.430414052	0.938125872	0.156273662	0.634896892	0.08067986	0.117722601	0.163884096	0.088575866	0.457402248	0.236870696
CCDC80	0.037603715	0.954773728	0.005623295	0.133536153	0.063241681	0.038069252	0.037346793	0.053503666	0.126962612	0.026608693	0.078696922	0.452613822	0.07557417
SMIM24	0.211989536	0.093867173	0.048935465	0.43375455	0.038483861	0.303530928	1.307180419	0.285958546	1.410619726	0.513249474	0.410709499	0.231396288	0.059264929
AGXT2	0.017062101	0.015434335	0.010958116	0.013747642	0.024921053	0.025360813	0.914078433	0.015969282	0.00968484	0.014935294	0.016405531	0.042428377	0
