gene	DNAme.Ave	H3K4me3.Ave	H3K4me1.Ave	H3K27ac.Ave	H3K27me3.Ave
FOSB	0.053306344	26.44037457	0.885230188	4.669136588	0.561984216
IGFBP3	0.065612543	6.861959757	2.227416795	1.578223313	3.495496548
ABI3BP	0	67.9337506	8.086566864	11.53788699	0.732124553
RGS2	0.033399472	68.78708387	2.761685018	9.735520784	0.758285641
HECW2	0.021675428	35.39152165	1.539408234	1.096875403	3.98727862
DLC1	0.029684562	25.92407416	0.889985302	4.024217782	1.250466829
PDGFD	0.056209151	42.57288212	3.70720306	3.814235629	3.373773105
ATOX1	0.043439071	74.67338313	2.367260745	16.36827645	0.29968062
BDH2	0.238015499	117.4871078	10.10031827	25.33276554	0.50707958
ACTN1	0.396729943	3.165242437	8.512037	15.18463695	0.330149898
SPOCK2	0.050847459	10.0626078	0.551692752	1.703294657	1.957900434
AGMAT	0.260113407	33.04649459	0.690153132	7.874922275	0.842340409
XAF1	0.365562852	29.58236937	1.886658269	5.76607196	2.130307131
TNS1	0.150000006	1.001037455	3.856804403	11.44834376	0.343077542
JAM2	0.037543554	108.7859157	2.862198402	10.06612855	0.40701704
ADI1	0.037451819	48.95377956	0.765821906	12.46221537	0.211930892
MPC1	0.042764763	57.30134434	0.396237218	14.60453084	0.410031749
PARD6G	0.046104764	29.06701956	0.205125129	1.548617985	0.58986035
MFSD4A	0.128201329	3.863391578	0.593387819	2.220102155	2.282513786
SUCNR1	0	33.47135143	7.818389384	7.856230656	0.494079291
SLC22A12	0.384494616	26.13522651	3.039428968	15.84159108	1.100593052
ARPC3	0.023809524	77.40571191	0.61675144	8.903097271	0.200211452
XIST	0.434005771	0.192590785	0.115589555	3.176852583	0.317460696
MEF2A	0.093332039	19.71761463	0.760951823	9.621585265	0.274745564
RGCC	0.060116704	11.18171323	1.685460117	1.43855022	3.741251948
RPLP1	0.122414651	78.33001164	1.942807595	15.38410431	0.430519825
WT1	0.126600963	12.87215135	5.292835132	1.989024808	8.998094207
FOXS1	0.476190478	0.395382764	0.538492141	1.184373615	1.507186099
DOCK5	0.057170482	54.69445107	0.479548123	3.240131325	0.636455925
ARHGAP18	0.192307696	153.1510866	4.295185697	22.50018701	0.476597831
ZNRF3	0.113996987	38.48411551	0.680304852	6.597509799	0.437057724
SELENOM	0.348613288	13.89482736	1.340699895	8.108226382	0.434939759
PARM1	0.074063032	63.71922825	2.99211562	8.593984231	3.324227624
SLC16A12	0.22819649	50.97197659	0.923090516	7.785918762	1.396126149
S100A13	0.261217536	55.02181081	4.118474532	18.11045705	0.619437514
FLT4	0	2.716829802	0.241948917	0.431564088	1.595252969
PERP	0.056386117	63.94574729	1.655299344	4.597754095	2.183647297
SEMA3G	0.484250355	2.140175174	0.422162801	3.386776631	0.247422691
MAL	0.043259713	13.53664574	2.410471428	6.064020718	2.875868172
UBA52	0.205921397	34.56749135	0.967408323	7.495254276	0.310597938
RPS27L	0.031457182	96.14508677	1.055220792	16.30182749	0.22308489
IFITM3	0.123593077	59.3120832	2.756636141	15.79648029	1.16377308
FOXC1	0.08281702	10.66744421	0.609586754	4.566767642	0.87252302
IRX2	0.077651731	0.951612742	0.349744023	0.613782833	2.151210168
CFD	0.02362514	1.411687924	0.474877544	0.697277385	1.444002162
ATP1B2	0.1162904	14.07690292	3.383872997	2.372342675	3.266563711
MFAP4	0.555555552	0.903101813	1.428156235	2.370384736	1.497344716
SERPINA5	0.23345436	9.717580962	3.84223351	7.604997229	0.880478338
SOD2	0.039783854	57.78273027	1.113991506	17.02844134	0.242488565
CD59	0.446274519	3.370556509	19.35133781	20.86347421	0.366319049
RPS15	0.101977315	42.3783425	2.384754046	9.630350282	0.36980162
LMOD1	0.096787725	17.11257502	4.076586825	2.46807213	2.609822838
NIT2	0.098944182	54.78448474	2.96818726	16.62102839	0.214898695
RAP1GAP	0.165583935	5.477831989	0.665478153	5.337190696	0.662626814
NCOA7	0.063190799	74.13332871	3.800427705	20.82047894	0.347876517
PFKFB3	0.022988506	46.94506638	0.79328535	3.230647113	1.372264201
SYNGR1	0.102108301	11.93833154	0.286684719	3.158241597	0.410227598
PDLIM7	0.069134787	18.44832893	0.993079289	6.693548132	0.696553774
PTPN6	0.210761057	35.74126274	2.562937963	16.47046391	0.549151845
MYL6	0.101283283	27.71092444	1.327877321	9.236118319	0.271358215
APLN	0.228730407	15.50616662	0.747952764	1.543670932	1.227111626
ROCK1	0.024610291	85.22876974	0.655578609	11.94661173	0.350331462
GRB14	0.527777791	75.08623091	16.67785511	12.45065707	0.283051004
SLC13A3	0.243267457	49.95805559	1.103610637	11.23887509	2.172749545
QKI	0.166666667	20.18306711	0.172453341	9.198015329	0.036867968
SERINC3	0.008928571	112.6548748	2.361553986	12.48270138	0.397389816
ADAMTS12	0	2.067854603	13.68117412	4.716451106	0.837834132
JAG2	0.126939297	0.590650217	0.057637421	0.474943949	0.574743729
NAPSA	0.449199702	37.34912831	2.707249505	10.60290256	0.311163277
PPM1F	0.13267359	17.2151913	0.703837274	4.463547557	0.221222733
RPL27	0.020833334	89.76219656	2.127153774	11.18133758	0.362919005
RPL37	0.19429563	161.4914771	1.731372179	18.61223037	0.413381442
QDPR	0.307219975	41.18572563	9.244177705	9.395333276	0.381938373
FMN2	0.097097874	6.267280071	3.14007011	0.848542974	10.51655428
AKR1C1	0.144230768	41.0096229	5.372329286	4.756773426	0.813779808
CFL1	0.046510032	83.89143293	0.865271262	9.296449896	0.379427524
NPY1R	0.026251527	78.07761155	3.113583763	3.981343135	4.492641203
LMNA	0.108465611	59.35171427	0.957786063	13.58117904	0.731893103
EVL	0.194493407	8.106393903	0.261772339	1.990001394	0.415959639
DOCK6	0.143715505	12.05041254	0.247643758	2.486555247	0.44193291
IFI16	0.143434348	22.60931124	5.600577303	2.98583136	1.908969517
C1R	0.309932528	26.75968238	2.460751415	5.894543916	0.615024717
CELF2	0.0538277	8.456172639	1.12649342	0.941092859	3.662832138
IDH2	0.13129852	34.33502945	2.423792299	13.72348186	0.187738292
GCHFR	0.05885442	40.20725433	1.415355708	10.66335161	0.311367058
SELENOW	0.133749999	64.42886494	0.679200811	19.23785581	0.396558458
KIF12	0.138553827	23.54980527	1.399467008	9.804889194	1.024976905
NT5DC2	0.086807798	14.70671349	0.244671254	3.376805157	0.289354888
GPX4	0.076677701	9.51767849	0.729398814	8.128926909	0.328903587
PARVA	0.467515492	5.787922241	4.096920996	8.6919659	0.951116995
UCP2	0.048890982	26.61685149	0.632617529	5.950672008	0.485704123
UBA2	0.176042009	63.14502953	0.700292188	6.244675306	0.119821124
FUOM	0.420790228	11.88542011	0.879671034	6.769451934	0.542016632
GJA1	0	7.556247618	3.841879075	1.991077189	6.886929841
GLUL	0.03939582	49.32363501	0.680626842	12.42071626	0.416033891
STAB1	0	4.363518674	2.591725599	6.233307685	0.750662454
CDH1	0.080900208	12.69202663	0.77927548	5.417483285	2.504477547
LDHA	0.123835459	33.2649931	2.267594	14.59195509	0.346106353
MFSD6	0.025816156	36.2308871	0.620319291	6.229622686	0.490909587
ABCC9	0.092435644	36.32615757	10.38098335	2.296953524	13.68101807
FBLN2	0.135455815	1.582349008	0.718809712	0.58748631	4.474019509
LPP	0.08238193	59.01394148	0.88356702	20.87609691	0.169114955
JAG1	0.113961041	123.3054823	1.276778707	10.47556152	0.67717842
EHHADH	0.152173912	53.12773182	1.502336053	11.01066951	0.347510261
SH2D3C	0.089481919	11.6204695	1.104215674	6.671379939	0.479949311
PIGQ	0.043887675	21.97239585	0.41764087	4.857317372	0.237968405
L1CAM	0.169629626	0.095771722	0.066492347	0.785533216	0.923938885
GSTM3	0.086231991	57.18151326	1.866794571	8.033832691	0.974962421
PIK3R3	0.044471154	66.35089671	0.771653874	11.95606161	0.440668845
